ISO,Migrant remittance inflows (US$ million),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020e,Remittances as a share of GDP in 2020e (%)
GRD,Grenada,,,,,,, 17 , 22 , 24 , 17 ,10,0,0,10,14,20,21,22,22,23,24,24,25,25,48,27,28,29,29,28,28,29,29,30,41,43,45,47,48,48,48,4.7%
GTM,Guatemala, 26 , 25 , 11 , 4 , 3 , 1 , 1 , 0 , 46 , 85 ,119,179,231,241,285,358,375,408,457,466,596,634,"1,600","2,147","2,628","3,067","3,700","4,236","4,426","4,002","4,225","4,533","4,965","5,304","5,751","6,482","7,363","8,394","9,438","10,656","11,403",14.8%
GIN,Guinea,,,,,,, 0 , 0 , 27 ,,0,0,0,0,0,1,1,1,5,6,1,9,15,111,42,42,30,15,62,52,46,65,66,93,121,131,52,45,28,158,151,1.0%
GNB,Guinea-Bissau,,,,,,,,, 2 , 1 ,1,0,0,0,0,0,2,2,0,0,0,10,18,23,28,20,26,43,49,49,46,52,46,64,92,85,56,105,128,151,123,8.6%
GUY,Guyana,,, 2 , 1 , 3 ,,,,,,0,0,0,0,0,0,15,15,14,21,27,22,51,99,153,201,218,278,274,262,368,412,469,328,330,303,269,322,334,380,361,6.3%
HTI,Haiti, 106 , 127 , 97 , 90 , 90 , 96 , 105 , 113 , 124 , 123 ,0,0,0,0,0,0,0,0,327,422,578,624,676,811,932,986,"1,063","1,222","1,370","1,376","1,474","1,551","1,612","1,781","1,977","2,196","2,359","2,722","3,142","3,327","3,111",21.8%
HND,Honduras, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 34 , 42 , 49 ,63,83,112,64,89,124,157,190,225,328,474,610,801,865,"1,169","1,805","2,358","2,614","2,821","2,477","2,618","2,811","2,920","3,098","3,370","3,666","3,864","4,323","4,777","5,401","5,576",23.5%
HKG,Hong Kong SAR,,,,,,,,,,,0,0,0,0,0,0,0,0,154,130,136,153,121,120,240,297,294,317,355,348,340,352,367,360,372,387,399,437,425,451,458,0.1%
HUN,Hungary,,,,,,,,,,,0,0,0,0,0,352,327,296,315,336,363,364,444,467,633,732,859,976,"1,312","1,575","1,850","2,305","3,148","4,160","4,203","3,954","4,171","4,124","4,392","4,710","3,650",2.4%
ISL,Iceland, 2 , 3 , 1 , 2 , 7 , 5 , 8 , 15 , 22 , 30 ,46,51,53,47,41,36,33,41,29,31,36,39,65,49,61,66,80,110,120,94,136,151,155,207,217,216,208,186,171,182,166,0.8%
IND,India," 2,761 "," 2,302 "," 2,622 "," 2,662 "," 2,293 "," 2,472 "," 2,243 "," 2,663 "," 2,317 "," 2,610 ","2,384","3,289","2,897","3,523","5,857","6,223","8,766","10,331","9,479","11,124","12,883","14,273","15,736","20,999","18,750","22,125","28,334","37,217","49,977","49,204","53,480","62,499","68,821","69,970","70,389","68,910","62,744","68,967","78,790","83,332","83,149",3.1%
