ISO,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BGR,Bulgaria,13.02%,11.65%,9.08%,8.43%,7.45%,9.14%,8.62%,9.01%,9.61%,8.38%,6.17%,5.87%,9.91%,10.23%,11.86%,15.77%,14.69%,16.80%,15.89%,17.18%,18.49%,18.76%,19.15%,23.14%,29.06%,31.56%,38.69%,41.75%,49.42%,33.98%,39.93%,49.42%,48.54%,49.56%,48.52%,40.80%,39.10%,43.24%,44.28%,41.77%,40.17%
BFA,Burkina Faso,15.22%,13.04%,11.54%,10.33%,8.98%,8.25%,10.43%,10.55%,11.35%,9.62%,11.38%,10.15%,16.11%,7.86%,6.13%,7.53%,7.73%,7.61%,9.81%,6.73%,5.58%,5.19%,6.24%,6.86%,7.98%,7.37%,9.86%,9.18%,9.31%,9.58%,8.77%,12.13%,17.03%,17.99%,16.86%,13.65%,12.82%,14.62%,14.01%,13.66%,15.76%
BDI,Burundi,18.77%,16.34%,19.49%,13.68%,14.79%,11.79%,13.94%,12.74%,12.63%,10.73%,10.12%,8.56%,8.54%,8.84%,9.36%,13.59%,7.52%,5.66%,5.27%,5.69%,4.87%,4.40%,3.85%,4.62%,6.00%,7.88%,7.22%,8.29%,7.13%,7.86%,8.88%,9.52%,11.79%,11.13%,10.51%,8.08%,7.53%,7.61%,8.52%,9.01%,9.97%
CPV,Cabo Verde,49.47%,38.57%,35.63%,31.38%,25.20%,25.97%,22.49%,25.86%,21.52%,21.29%,23.58%,23.37%,27.95%,25.92%,27.48%,29.45%,35.26%,13.53%,23.06%,23.39%,20.31%,17.65%,20.33%,20.25%,22.68%,22.90%,27.09%,28.74%,32.90%,26.43%,30.07%,34.63%,27.17%,30.57%,30.12%,33.93%,27.77%,23.26%,24.06%,24.95%,25.48%
KHM,Cambodia,,,,,,,,0.70%,0.84%,1.36%,1.79%,1.98%,13.37%,16.64%,16.88%,21.65%,19.87%,21.84%,21.79%,24.44%,26.86%,26.41%,27.60%,28.92%,31.31%,31.01%,34.49%,35.32%,38.30%,33.56%,44.46%,49.66%,53.98%,55.99%,57.32%,57.32%,55.95%,59.49%,67.02%,69.95%,68.10%
CMR,Cameroon,32.30%,26.62%,23.69%,19.14%,20.22%,19.22%,15.62%,15.56%,13.54%,14.48%,17.28%,14.43%,13.93%,11.90%,12.45%,15.09%,14.78%,14.94%,13.35%,11.89%,13.38%,12.55%,11.19%,13.75%,14.40%,15.10%,17.69%,18.14%,19.80%,14.46%,17.15%,20.27%,20.21%,19.53%,18.76%,14.63%,11.87%,11.71%,12.49%,12.10%,11.97%
CAN,Canada,40.34%,39.64%,35.15%,35.76%,39.33%,37.24%,35.73%,38.81%,41.90%,42.93%,43.40%,43.39%,44.20%,45.19%,48.37%,52.23%,52.81%,54.46%,52.49%,53.23%,56.19%,51.26%,48.28%,49.87%,53.78%,57.36%,58.86%,60.71%,64.09%,48.63%,56.79%,62.13%,62.04%,59.28%,57.78%,51.53%,46.65%,47.61%,48.86%,47.14%,43.09%
CAF,Central African Republic,22.13%,16.89%,14.33%,14.57%,14.58%,14.83%,15.18%,11.56%,12.84%,14.64%,23.25%,20.65%,16.50%,7.75%,10.57%,14.00%,13.97%,12.00%,14.37%,13.13%,12.27%,9.88%,9.72%,7.90%,8.67%,8.21%,8.93%,9.75%,12.49%,8.51%,13.02%,19.55%,10.72%,16.77%,12.11%,22.31%,10.20%,9.33%,9.75%,9.53%,9.31%
TCD,Chad,5.88%,7.11%,4.90%,8.07%,7.39%,6.15%,4.74%,5.07%,5.18%,5.87%,5.83%,5.27%,4.13%,3.44%,3.36%,4.91%,4.97%,4.27%,4.37%,3.44%,3.15%,5.15%,5.49%,4.04%,12.29%,16.42%,18.16%,18.18%,26.04%,16.99%,18.91%,21.71%,18.75%,21.12%,19.56%,12.50%,9.27%,7.84%,10.13%,8.77%,9.27%
CHL,Chile,25.85%,22.37%,18.08%,16.51%,16.03%,14.24%,15.16%,16.33%,19.53%,21.03%,20.84%,20.59%,21.57%,19.61%,21.12%,25.49%,24.34%,23.62%,20.25%,18.70%,21.11%,19.29%,17.93%,19.69%,24.92%,28.54%,34.65%,38.06%,40.84%,30.74%,38.23%,43.54%,41.02%,38.47%,35.96%,31.32%,28.62%,30.44%,33.03%,30.28%,29.20%
