ISO,Migrant remittance inflows (US$ million),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MYS,Malaysia,,,,,,,48.82,99.66,139.00,185.22,130.18,153.10,175.60,119.27,115.80,164.15,194.44,189.58,322.89,342.37,367.11,435.00,571.05,801.87,1116.97,1365.48,1556.24,1329.07,1130.87,1102.90,1211.50,1293.81,1423.37,1579.52,1643.72,1603.92,1648.94,1685.58,1638.17,1453.95
MDV,Maldives,,,2.50,2.50,,1.00,1.00,1.20,1.40,1.70,1.80,1.60,1.30,2.17,2.37,2.71,2.45,2.45,2.20,2.20,1.82,2.01,2.01,2.90,2.26,2.80,7.93,6.27,4.51,3.16,3.00,3.15,3.30,3.47,3.64,3.83,4.02,4.22,4.22,4.22
MLI,Mali,47.66,39.41,36.48,32.50,67.00,68.44,88.18,73.23,75.95,106.92,93.01,116.55,125.62,103.19,112.11,110.72,91.72,84.46,86.31,73.16,88.17,137.65,153.80,155.46,177.20,211.84,343.92,430.99,453.74,472.75,784.11,827.46,894.51,920.26,816.60,826.68,883.26,1022.07,1022.07,987.30
MHL,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,23.70,25.99,25.14,23.06,23.59,22.21,22.15,23.24,24.56,26.08,27.34,28.34,30.45,31.45,31.45,31.00
MRT,Mauritania,3.71,2.32,1.22,0.96,0.79,1.86,6.70,9.30,4.78,13.71,11.74,50.13,2.27,4.90,5.45,4.37,2.69,2.21,,,,,,,,,,,,,,,,,,,77.20,60.39,64.46,61.29
MUS,Mauritius,,,,,,,,,,,,,,118.00,132.00,160.00,168.00,180.00,178.00,177.00,215.00,215.00,215.00,215.00,215.00,215.00,215.00,215.00,211.00,226.00,249.00,249.00,249.00,327.04,223.58,194.07,250.24,244.62,318.51,271.58
MEX,Mexico,1220.00,1226.00,1391.00,1564.00,1619.00,1771.00,1987.00,2442.00,2790.00,3098.00,3030.00,3700.00,3979.00,4121.82,4368.12,4949.00,5545.80,6501.25,6648.63,7524.74,10146.26,11029.45,16653.69,19861.75,22741.84,26542.80,26879.86,26041.49,22075.73,22080.26,23445.66,23208.65,23188.81,24802.08,26233.17,28690.96,32270.51,35768.42,39021.79,42880.32
FSM,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,18.07,19.43,20.80,22.05,23.34,23.34,23.34,23.34,23.34,23.34,23.34
MDA,Moldova,,,,,,,,,,,,,,,1.02,87.08,114.32,122.17,110.41,177.58,242.21,322.59,484.02,701.37,915.08,1175.82,1491.26,1888.02,1352.30,1752.83,1813.11,1986.44,2191.54,2075.92,1540.12,1467.22,1637.87,1837.64,1909.63,1876.45
MNG,Mongolia,,,,,,,,,,,,,,,,,,5.50,7.87,1.10,26.68,68.70,79.36,202.51,176.95,155.19,178.03,224.60,199.62,266.24,249.64,323.84,257.13,255.12,260.91,259.88,273.36,440.55,560.93,549.01
MNE,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,196.43,298.10,303.17,416.00,509.61,507.50,545.31,543.35,469.73,480.84,523.00,588.91,584.32,600.70
