ISO,Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COM,Comoros,372,411,441,475,505,526,551,599,617,688,667,733,769,754,813,824,875,885,922,933,1006,1069,1110,1175,1282,1296,1342,1422,1479,1553,1651,1818,1955,2063,2107,2278,2468,2619,2716,2735
COD,Democratic Republic of the Congo,22426,23704,24979,27135,28123,30043,31609,32875,33734,32698,30949,28342,25106,24067,25250,25215,23639,22979,22424,21060,21070,22034,23695,25973,28425,30844,33655,36445,37772,40928,44655,46214,53768,62685,69036,75927,86267,93476,99312,100452
COG,Republic of Congo,3442,3742,3982,4224,4460,4656,4883,6162,7766,8137,8699,9269,9614,9681,10276,10830,10906,12016,11741,13414,13048,13385,13696,14037,15807,17586,16864,18276,20559,22864,23856,28576,28056,28096,22531,19019,21679,20773,21012,19605
CRI,Costa Rica,8777,8641,9236,10337,10741,11564,12415,13294,14598,15689,16587,18526,20311,21682,23056,23795,25531,27666,29248,31059,32848,34508,36666,39319,42156,46614,51799,55308,55243,58883,62759,67139,71160,77049,82853,90838,97896,102308,106392,102517
CIV,Côte d'Ivoire,23436,24933,25262,25650,27414,29308,29883,31290,33476,34350,35526,36245,37037,37892,40842,44974,48367,51323,52907,52971,54198,54137,54393,56545,59310,62031,64822,67763,70500,72760,70672,78215,86354,97907,108069,112610,118051,129215,139718,144631
HRV,Croatia,,,,,,,,,,,,38840,36580,39565,43074,46439,50380,51895,52152,55317,58202,62480,67227,71905,77339,83658,90259,93757,87553,87407,89056,90339,92861,93503,96730,103833,110450,116277,121736,112123
CYP,Cyprus,3397,3833,4195,4730,5111,5401,5930,6649,7469,8322,8667,9695,9994,10810,12132,12508,13059,14014,14926,16170,17178,18099,18919,20405,22062,23801,25686,27141,26797,27655,28346,27503,26182,25643,26976,30414,32720,35261,36995,35531
CZE,Czech Republic,,,,,,,,,,,,,,,146469,155900,157766,158973,163501,173843,183062,188878,199279,214496,235779,259352,281154,294322,282754,293014,304401,307490,324030,342100,357600,381382,412903,436341,454406,434364
DNK,Denmark,66186,72860,77678,83838,89953,96261,98893,102372,107069,112711,118151,123211,126140,135699,142740,149577,157116,162401,169603,179894,185352,189164,193426,203932,215208,230394,238731,242131,232009,239096,247352,250525,262368,270331,278823,297689,320054,334870,350565,343152
DJI,Djibouti,,,,,,,,,,,1655,1702,1625,1637,1613,1581,1589,1609,1679,1729,1799,1886,1983,2093,2225,2403,2591,2795,2862,3015,3303,3436,3625,3857,4207,4385,4638,5153,5638,5649
